R_max,Roff_max,W_max,S_max,tau_Roff,tau_R,tau_W,tau_S,alpha_Roff,alpha_R,alpha_W,beta_R,beta_W,alpha_S,gamma_R,gamma_Roff,gamma_W,gamma_S,k1_Roff,k2_Roff,k1_S,k2_S,stp_max,stp_min,stp_r,tau_stpW,h_max,h_min,omega_max,omega_min,theta_R,theta_W,tau_stpup,tau_stpdown,tau_hup,tau_hdown,tau_omega,tau_stim,g_Roff2R,g_R2Roff,g_S2W,g_W2S,g_W2R,g_R2W,g_W2Roff,g_Roff2W,g_Roff2S,tau_CR,tau_CRf,tau_CRoff,tau_CW,tau_CS,delta_update,Score
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-4.916666666666667,-4.027777777777779,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,3,20.541691648404218
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-4.083333333333334,-4.305555555555556,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,3,20.11250880831671
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-3.9444444444444446,-3.6111111111111116,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,3,16.056393300454335
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-4.916666666666667,-4.027777777777779,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,3,19.131793700389693
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-4.638888888888889,-3.7500000000000004,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,3,18.81857006336061
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-4.5,-3.6111111111111116,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,3,15.74394188952596
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-4.0,-3.6,-1.3055555555555558,-1.8611111111111112,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,3,38.15216288553083
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-4.0,-3.6,-1.5833333333333337,-1.8611111111111112,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,3,36.503384166397126
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-4.0,-3.6,-1.8611111111111116,-1.8611111111111112,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,3,29.64637918475389
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,972.2222222222222,1083.3333333333333,600.0,2000.0,20.0,5.0,-4.0,-3.6,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,3,16.646525959078343
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,888.8888888888889,1333.3333333333333,600.0,2000.0,20.0,5.0,-4.0,-3.6,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,3,15.555091618533538
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1027.7777777777778,1250.0,600.0,2000.0,20.0,5.0,-4.0,-3.6,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,3,14.674902052070506
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-4.0,-3.6,-2.0,-2.0,0.0,0.0,6.388888888888889,0,0,10.0,1.0,10.0,10.0,10.0,3.0,94.44775865322373
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-4.0,-3.6,-2.0,-2.0,0.0,0.0,3.4722222222222228,0,0,10.0,1.0,10.0,10.0,10.0,3.0,93.1156106714134
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-4.0,-3.6,-2.0,-2.0,0.0,0.0,3.6111111111111116,0,0,10.0,1.0,10.0,10.0,10.0,3.0,89.06315971862182
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-4.0,-3.6,-2.0,-2.0,0.0,0.0,0.2777777777777768,0,0,10.0,1.0,10.0,10.0,10.0,3.0,90.02191438015973
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-4.0,-3.6,-2.0,-2.0,0.0,0.0,0.13888888888888795,0,0,10.0,1.0,10.0,10.0,10.0,3.0,89.94359359935811
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-4.0,-3.6,-2.0,-2.0,0.0,0.0,-0.13888888888888995,0,0,10.0,1.0,10.0,10.0,10.0,3.0,60.51411607529916
